sku,product_name,cas_number,dosage
oxytocin-acetate-2mg,Oxytocin Acetate,50-56-6,2mg
oxytocin-acetate-5mg,Oxytocin Acetate,50-56-6,5mg
peg-mgf-2mg,PEG-MGF,108174-48-7,2mg
pinealon-10mg,Pinealon,175175-23-2,10mg
pinealon-capsules-100-count,Pinealon (Capsules) (100 count),175175-23-2,100 count)
retatrutide-100mg,Retatrutide,2381089-83-2,100mg
retatrutide-10mg,Retatrutide,2381089-83-2,10mg
retatrutide-20mg,Retatrutide,2381089-83-2,20mg
retatrutide-50mg,Retatrutide,2381089-83-2,50mg
retatrutide-5mg,Retatrutide,2381089-83-2,5mg
selank-10mg,Selank,129954-34-3,10mg
selank-5mg,Selank,129954-34-3,5mg
semaglutide-10mg,Semaglutide,910463-68-2,10mg
semaglutide-5mg,Semaglutide,910463-68-2,5mg
semax-10mg,Semax,80714-61-0,10mg
semax-5mg,Semax,80714-61-0,5mg
sermorelin-10mg,Sermorelin,86168-78-7,10mg
sermorelin-5mg,Sermorelin,86168-78-7,5mg
snap-8-10mg,Snap-8,868844-74-0,10mg
ss-31-10mg,SS-31,736992-21-5,10mg
ss-31-25mg,SS-31,736992-21-5,25mg
ss-31-50mg,SS-31,736992-21-5,50mg
survodutide-10mg,Survodutide,2805997-46-8,10mg
tb500-10mg,TB500,77591-33-4,10mg
tb500-5mg,TB500,77591-33-4,5mg
tesamorelin-10mg,Tesamorelin,218949-48-5,10mg
tesamorelin-20mg,Tesamorelin,218949-48-5,20mg
tesamorelin-5mg,Tesamorelin,218949-48-5,5mg
thymalin-10mg,Thymalin,63958-90-7,10mg
thymosin-alpha-1-10mg,Thymosin alpha-1,62304-98-7,10mg
thymosin-alpha-1-5mg,Thymosin alpha-1,62304-98-7,5mg
tirzepatide-10mg,Tirzepatide,2023788-19-2,10mg
tirzepatide-20mg,Tirzepatide,2023788-19-2,20mg
tirzepatide-50mg,Tirzepatide,2023788-19-2,50mg
tirzepatide-5mg,Tirzepatide,2023788-19-2,5mg
vip-10mg,VIP,37221-79-7,10mg
