export_filename,label_template,mockup,#product_name,#concentration
Oxytocin Acetate 5mg,main,vial,Oxytocin Acetate,5mg
Oxytocin Acetate 10mg,main,vial,Oxytocin Acetate,10mg
Selank 5mg,main,vial,Selank,5mg
Selank 10mg,main,vial,Selank,10mg
Semax 5mg,main,vial,Semax,5mg
Semax 10mg,main,vial,Semax,10mg
Thymalin 10mg,main,vial,Thymalin,10mg
Thymosin alpha-1 5mg,main,vial,Thymosin alpha-1,5mg
Thymosin alpha-1 10mg,main,vial,Thymosin alpha-1,10mg
VIP 10mg,main,vial,VIP,10mg
Pinealon 10mg,main,vial,Pinealon,10mg
Humanin 10mg,main,vial,Humanin,10mg
Adamax 10mg,main,vial,Adamax,10mg
Dihexa 10mg,main,vial,Dihexa,10mg
Cerebrolysin 10mg,main,vial,Cerebrolysin,10mg
B-12 10mg,main,vial,B-12,10mg
Glutathione 600mg,main,vial,Glutathione,600mg
Glutathione 1500mg,main,vial,Glutathione,1500mg
L-Carnitine 600mg (10ml),main,vial,L-Carnitine,600mg (10ml)
Lemon Bottle 10ml,main,vial,Lemon Bottle,10ml
Lipo-C 10ml,main,vial,Lipo-C,10ml
MK-677 5mg,main,vial,MK-677,5mg
L-Glu 100mg,main,vial,L-Glu,100mg
Pinealon (Capsules),capsule,capsule,Pinealon (Capsules),N/A
Selank Nasal Spray 10mg,main,nasal_spray,Selank Nasal Spray,10mg
Semax Nasal Spray 10mg,main,nasal_spray,Semax Nasal Spray,10mg
